neighbourhood,latitude,longitude,room_type,price,minimum_nights,calculated_host_listings_count,availability_365,number_of_reviews_ltm
Lewisham,51.47585672399888,-0.0369481232788038,Shared room,31,14,30,362,0
Lewisham,51.47585672399888,-0.0369695809509229,Shared room,26,14,30,321,0
Lewisham,51.47582999441108,-0.0369266656066846,Shared room,39,14,30,335,0
Lewisham,51.47584335920694,-0.036991038623042,Shared room,39,5,30,360,0
Lewisham,51.47584335920694,-0.0369481232788038,Shared room,42,4,30,343,0
Barking and Dagenham,51.53339419739111,0.0846515223383903,Shared room,109,1,4,365,0
Lambeth,51.476833473789,-0.1224080097194074,Shared room,50,1,8,365,0
Tower Hamlets,51.50785977095354,-0.0015510859915927,Shared room,30,3,3,248,0
Haringey,51.60813356814391,-0.0924425597543097,Shared room,150,4,2,134,0
Tower Hamlets,51.50945,-0.0392,Shared room,300,2,1,363,0
Redbridge,51.60639,0.09109,Shared room,100,1,1,365,0
Bexley,51.43724,0.21237,Shared room,68,1,1,351,3
Hounslow,51.42973362488328,-0.4603966760202463,Shared room,80,1,21,365,0
Hounslow,51.43169,-0.4605,Shared room,92,1,21,365,0
Barking and Dagenham,51.53148,0.07542,Shared room,119,2,1,339,13
